mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.19683218002319336,0.008604496885530341,0.03601922988891602,0.0005914057047828447,0.1,"(1, 1)","{'classifier__alpha': 0.1, 'vectorizer__ngram_range': (1, 1)}",0.6789473684210526,0.6842105263157895,0.6861842105263158,0.6769736842105263,0.6625,0.6777631578947368,0.008336333716556421,1
0.7270547866821289,0.02878577781479113,0.09758872985839843,0.03850621818663849,0.1,"(1, 2)","{'classifier__alpha': 0.1, 'vectorizer__ngram_range': (1, 2)}",0.6592105263157895,0.6690789473684211,0.6710526315789473,0.6684210526315789,0.6519736842105263,0.6639473684210526,0.007247599659958129,2
1.3776562690734864,0.050768408363014564,0.10570363998413086,0.007134827904450074,0.1,"(1, 3)","{'classifier__alpha': 0.1, 'vectorizer__ngram_range': (1, 3)}",0.6434210526315789,0.6526315789473685,0.6572368421052631,0.65,0.6348684210526315,0.6476315789473683,0.0077909849174144724,4
0.1948564052581787,0.008877671585391043,0.04100804328918457,0.004912845387934314,0.2,"(1, 1)","{'classifier__alpha': 0.2, 'vectorizer__ngram_range': (1, 1)}",0.655921052631579,0.6703947368421053,0.6690789473684211,0.6631578947368421,0.6453947368421052,0.6607894736842106,0.009244298984342274,3
0.6776155471801758,0.019874169101432523,0.08616724014282226,0.012629034953182771,0.2,"(1, 2)","{'classifier__alpha': 0.2, 'vectorizer__ngram_range': (1, 2)}",0.6230263157894737,0.631578947368421,0.6342105263157894,0.6328947368421053,0.6342105263157894,0.6311842105263159,0.004194046697502435,5
1.2807373046875,0.05534190968051922,0.12887320518493653,0.031015955229911147,0.2,"(1, 3)","{'classifier__alpha': 0.2, 'vectorizer__ngram_range': (1, 3)}",0.6111842105263158,0.6164473684210526,0.6210526315789474,0.6151315789473685,0.6144736842105263,0.6156578947368422,0.0032068572649878984,6
0.18533577919006347,0.010198330242210096,0.03449854850769043,0.0016365532309458074,0.5,"(1, 1)","{'classifier__alpha': 0.5, 'vectorizer__ngram_range': (1, 1)}",0.6,0.6052631578947368,0.6118421052631579,0.6,0.5953947368421053,0.6025,0.005619514869490141,7
0.7012144565582276,0.037083751243540006,0.08555479049682617,0.011665434023425517,0.5,"(1, 2)","{'classifier__alpha': 0.5, 'vectorizer__ngram_range': (1, 2)}",0.5611842105263158,0.5769736842105263,0.5717105263157894,0.5585526315789474,0.569078947368421,0.5675000000000001,0.0067811045930131954,8
1.3764782905578614,0.1052070367621695,0.12888102531433104,0.008504339850294721,0.5,"(1, 3)","{'classifier__alpha': 0.5, 'vectorizer__ngram_range': (1, 3)}",0.5348684210526315,0.5486842105263158,0.5427631578947368,0.5289473684210526,0.5453947368421053,0.5401315789473685,0.007218877223339588,10
0.20700907707214355,0.017842405792303374,0.04273676872253418,0.009383569400853078,0.75,"(1, 1)","{'classifier__alpha': 0.75, 'vectorizer__ngram_range': (1, 1)}",0.5625,0.5710526315789474,0.5697368421052632,0.5657894736842105,0.5605263157894737,0.5659210526315789,0.004042708288351918,9
0.7416116714477539,0.09305458047122993,0.07610564231872559,0.00696484484192575,0.75,"(1, 2)","{'classifier__alpha': 0.75, 'vectorizer__ngram_range': (1, 2)}",0.5138157894736842,0.5401315789473684,0.5243421052631579,0.5164473684210527,0.5263157894736842,0.5242105263157895,0.009233055154130951,12
1.3137956619262696,0.0744770298188531,0.12642688751220704,0.009856317237105372,0.75,"(1, 3)","{'classifier__alpha': 0.75, 'vectorizer__ngram_range': (1, 3)}",0.4776315789473684,0.5019736842105263,0.49407894736842106,0.4888157894736842,0.49736842105263157,0.49197368421052634,0.008357076056947601,13
0.19067702293395997,0.015389365108390472,0.036531257629394534,0.002227615152513467,1.0,"(1, 1)","{'classifier__alpha': 1, 'vectorizer__ngram_range': (1, 1)}",0.5348684210526315,0.5394736842105263,0.5447368421052632,0.5282894736842105,0.5348684210526315,0.5364473684210527,0.005466467915221325,11
0.747713279724121,0.08359102272450222,0.07538332939147949,0.0014790477493693925,1.0,"(1, 2)","{'classifier__alpha': 1, 'vectorizer__ngram_range': (1, 2)}",0.4723684210526316,0.5052631578947369,0.49473684210526314,0.48355263157894735,0.4986842105263158,0.4909210526315789,0.01165346832920238,14
1.4527419567108155,0.13109696519034555,0.15257930755615234,0.014639339306875943,1.0,"(1, 3)","{'classifier__alpha': 1, 'vectorizer__ngram_range': (1, 3)}",0.44013157894736843,0.4697368421052632,0.45394736842105265,0.4453947368421053,0.4598684210526316,0.4538157894736842,0.010471898816353442,16
0.18873629570007325,0.008204059897854873,0.033890724182128906,0.003146550696842043,1.5,"(1, 1)","{'classifier__alpha': 1.5, 'vectorizer__ngram_range': (1, 1)}",0.48026315789473684,0.4980263157894737,0.5039473684210526,0.4756578947368421,0.4888157894736842,0.4893421052631579,0.010570630404418377,15
0.912949800491333,0.1004818980679824,0.09149751663208008,0.01501518100040209,1.5,"(1, 2)","{'classifier__alpha': 1.5, 'vectorizer__ngram_range': (1, 2)}",0.4236842105263158,0.45592105263157895,0.4375,0.4230263157894737,0.44144736842105264,0.4363157894736842,0.012233304525441538,18
1.4897676467895509,0.12665038086012084,0.14317188262939454,0.01766390339489705,1.5,"(1, 3)","{'classifier__alpha': 1.5, 'vectorizer__ngram_range': (1, 3)}",0.39342105263157895,0.4026315789473684,0.39342105263157895,0.3815789473684211,0.39342105263157895,0.39289473684210524,0.006688560540599372,19
