mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15.759502696990968,0.21071384372884688,2.457375717163086,0.0194932882536712,0.1,linear,"(1, 1)","{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'vectorizer__ngram_range': (1, 1)}",0.3335526315789474,0.34539473684210525,0.34407894736842104,0.3335526315789474,0.3414473684210526,0.33960526315789474,0.005102820902543493,19
24.72682590484619,0.33193457764052886,3.314743185043335,0.08238022427866551,0.1,linear,"(1, 2)","{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'vectorizer__ngram_range': (1, 2)}",0.14736842105263157,0.1394736842105263,0.15263157894736842,0.14342105263157895,0.15460526315789475,0.14750000000000002,0.005619514869490169,23
31.293184328079224,0.423461723961033,3.6661699771881104,0.0865933662135154,0.1,linear,"(1, 3)","{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'vectorizer__ngram_range': (1, 3)}",0.11118421052631579,0.1125,0.11381578947368422,0.11118421052631579,0.11381578947368422,0.1125,0.0011768778828946298,29
18.55959916114807,0.06707397199345735,2.653978967666626,0.0962473177398925,0.1,rbf,"(1, 1)","{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'vectorizer__ngram_range': (1, 1)}",0.10723684210526316,0.10789473684210527,0.10921052631578948,0.10657894736842105,0.10657894736842105,0.1075,0.0009846466807299876,31
27.2370596408844,0.262748055351857,3.5686166286468506,0.1101895631961229,0.1,rbf,"(1, 2)","{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'vectorizer__ngram_range': (1, 2)}",0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,32
32.982106828689574,0.16698940123265046,3.955964231491089,0.13586327572072707,0.1,rbf,"(1, 3)","{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'vectorizer__ngram_range': (1, 3)}",0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,32
18.282053804397584,0.22446825025416553,2.362838315963745,0.01217814390887361,0.1,poly,"(1, 1)","{'classifier__C': 0.1, 'classifier__kernel': 'poly', 'vectorizer__ngram_range': (1, 1)}",0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,32
25.825432109832764,0.15487185625010397,3.2191972732543945,0.07799067293352101,0.1,poly,"(1, 2)","{'classifier__C': 0.1, 'classifier__kernel': 'poly', 'vectorizer__ngram_range': (1, 2)}",0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,32
31.670526599884035,0.6028215524961308,3.643626308441162,0.08249979338219342,0.1,poly,"(1, 3)","{'classifier__C': 0.1, 'classifier__kernel': 'poly', 'vectorizer__ngram_range': (1, 3)}",0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,32
15.464375972747803,0.12700991150035656,2.12522439956665,0.04656335509245123,1.0,linear,"(1, 1)","{'classifier__C': 1, 'classifier__kernel': 'linear', 'vectorizer__ngram_range': (1, 1)}",0.7072368421052632,0.7026315789473684,0.6894736842105263,0.6947368421052632,0.6947368421052632,0.6977631578947368,0.006332215481850485,6
25.509916162490846,0.29186144692120747,3.060945415496826,0.07604528806652242,1.0,linear,"(1, 2)","{'classifier__C': 1, 'classifier__kernel': 'linear', 'vectorizer__ngram_range': (1, 2)}",0.7046052631578947,0.7072368421052632,0.6907894736842105,0.7078947368421052,0.7013157894736842,0.7023684210526315,0.006235787163722522,5
31.97265386581421,0.6740356406500719,3.5577102184295653,0.10522371255674126,1.0,linear,"(1, 3)","{'classifier__C': 1, 'classifier__kernel': 'linear', 'vectorizer__ngram_range': (1, 3)}",0.6934210526315789,0.6980263157894737,0.6875,0.6993421052631579,0.6927631578947369,0.6942105263157895,0.0042105263157894745,9
19.06517901420593,0.19080880120250468,2.4811879634857177,0.012141697679708041,1.0,rbf,"(1, 1)","{'classifier__C': 1, 'classifier__kernel': 'rbf', 'vectorizer__ngram_range': (1, 1)}",0.675,0.6677631578947368,0.6611842105263158,0.6690789473684211,0.6671052631578948,0.6680263157894737,0.004415253088305933,12
27.52196946144104,0.13034406316621544,3.514220714569092,0.0619342682359858,1.0,rbf,"(1, 2)","{'classifier__C': 1, 'classifier__kernel': 'rbf', 'vectorizer__ngram_range': (1, 2)}",0.5855263157894737,0.6,0.5921052631578947,0.5868421052631579,0.5980263157894737,0.5925,0.005789473684210525,17
33.34404358863831,0.14138664099450335,3.9177316665649413,0.06495368858181326,1.0,rbf,"(1, 3)","{'classifier__C': 1, 'classifier__kernel': 'rbf', 'vectorizer__ngram_range': (1, 3)}",0.530921052631579,0.5546052631578947,0.5381578947368421,0.5381578947368421,0.5473684210526316,0.5418421052631579,0.00824444747253713,18
19.101987028121947,0.11363295731580741,2.363531303405762,0.023333788110493924,1.0,poly,"(1, 1)","{'classifier__C': 1, 'classifier__kernel': 'poly', 'vectorizer__ngram_range': (1, 1)}",0.22631578947368422,0.23092105263157894,0.24210526315789474,0.22236842105263158,0.2256578947368421,0.22947368421052633,0.006879956032842827,22
