mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__boosting_type,param_classifier__learning_rate,param_classifier__num_leaves,param_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
79.26018724441528,21.89116087846751,0.429042387008667,0.04900781214434167,gbdt,0.01,20,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 1)}",0.725,0.75,0.7375,0.7375,0.759375,0.7418750000000001,0.01179247641507076,33
118.45327415466309,14.086309786249863,0.9778058528900146,0.20022450524859986,gbdt,0.01,20,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 2)}",0.715625,0.75,0.7125,0.7375,0.759375,0.7350000000000001,0.018477181873868116,42
163.9401291847229,17.680291241029593,1.7189091682434081,0.18230006715732372,gbdt,0.01,20,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 3)}",0.721875,0.75,0.71875,0.753125,0.746875,0.7381249999999999,0.01471075286992477,38
128.52412028312682,15.633988560842047,0.423266077041626,0.025062266502834312,gbdt,0.01,31,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 1)}",0.734375,0.75,0.721875,0.775,0.7625,0.7487499999999999,0.01901890506837866,31
188.23200755119325,20.842521637126588,0.986355209350586,0.050981751606757185,gbdt,0.01,31,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 2)}",0.709375,0.74375,0.71875,0.74375,0.7625,0.735625,0.01912132317597294,40
220.68164253234863,25.981841994095426,1.6230636596679688,0.19389282657308002,gbdt,0.01,31,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 3)}",0.725,0.746875,0.7125,0.75625,0.7375,0.735625,0.015512092057488557,40
169.10375051498414,27.91388980213012,0.41671104431152345,0.041880245773811546,gbdt,0.01,40,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 1)}",0.715625,0.7625,0.70625,0.778125,0.75625,0.7437500000000001,0.027880885028994305,32
174.2566081047058,59.73162828894637,0.9790157318115235,0.12623376045125712,gbdt,0.01,40,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 2)}",0.7125,0.7375,0.70625,0.753125,0.771875,0.73625,0.02457450406417186,39
240.06446394920349,18.456857014958942,1.6695021629333495,0.19504875331061083,gbdt,0.01,40,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 3)}",0.715625,0.753125,0.70625,0.771875,0.7625,0.741875,0.02611572801972021,34
133.82486844062805,15.885633194257553,0.44660162925720215,0.05578504020574329,gbdt,0.01,50,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 1)}",0.721875,0.75625,0.7125,0.75625,0.7625,0.741875,0.020501524333570876,34
