mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3025302410125732,0.23834339197460433,0.11437597274780273,0.025054090752082214,0.0001,l1,saga,0.0001,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}",0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,8
1.3804006099700927,0.24352901660587142,0.15098867416381836,0.05219023322434797,0.0001,l1,saga,1.0,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'saga', 'tol': 1}",0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,8
0.017145776748657228,0.004975182885765053,0.0,0.0,0.0001,l1,lbfgs,0.0001,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 0.0001}",,,,,,,,13
0.013417816162109375,0.005084912659631258,0.0,0.0,0.0001,l1,lbfgs,1.0,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 1}",,,,,,,,13
139.6464343070984,11.344552712503157,0.1088982105255127,0.009745139371971575,0.0001,l2,saga,0.0001,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001}",0.6125,0.5726851851851852,0.6069444444444444,0.5939814814814814,0.586574074074074,0.5945370370370371,0.01426767428463573,7
9.33895926475525,1.1111117338186958,0.18201279640197754,0.06180827830269579,0.0001,l2,saga,1.0,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'saga', 'tol': 1}",0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,8
6.40879545211792,0.664438101950564,0.16543970108032227,0.035682966670184536,0.0001,l2,lbfgs,0.0001,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001}",0.7699074074074074,0.7694444444444445,0.7768518518518519,0.7555555555555555,0.7699074074074074,0.7683333333333333,0.006957395331173797,5
2.284982442855835,0.16844822272358365,0.12994375228881835,0.023266360621847976,0.0001,l2,lbfgs,1.0,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1}",0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,8
92.07827696800231,4.465382701745101,0.14687180519104004,0.07448639791576638,1.0,l1,saga,0.0001,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}",0.8314814814814815,0.8199074074074074,0.8162037037037037,0.8282407407407407,0.8333333333333334,0.8258333333333333,0.006660233521612778,3
2.101645994186401,0.1858599887583451,0.1258103847503662,0.03489684052260266,1.0,l1,saga,1.0,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'tol': 1}",0.7986111111111112,0.7175925925925926,0.7425925925925926,0.6898148148148148,0.7824074074074074,0.7462037037037037,0.0401711018161667,6
0.013025712966918946,0.0011629643849288326,0.0,0.0,1.0,l1,lbfgs,0.0001,"{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 0.0001}",,,,,,,,13
0.014259910583496094,0.0023451928449086694,0.0,0.0,1.0,l1,lbfgs,1.0,"{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs', 'tol': 1}",,,,,,,,13
11.50316104888916,1.0562823191934487,0.12931017875671386,0.03192457933175351,1.0,l2,saga,0.0001,"{'C': 1, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001}",0.8680555555555556,0.8587962962962963,0.8671296296296296,0.8629629629629629,0.8574074074074074,0.8628703703703705,0.004277336837944854,1
1.2912883758544922,0.10062642085902954,0.13385953903198242,0.018223150241663065,1.0,l2,saga,1.0,"{'C': 1, 'penalty': 'l2', 'solver': 'saga', 'tol': 1}",0.7569444444444444,0.75,0.7712962962962963,0.8087962962962963,0.8050925925925926,0.7784259259259259,0.024305511463804823,4
130.18690619468688,6.469830993982814,0.05821213722229004,0.0269328618212007,1.0,l2,lbfgs,0.0001,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001}",0.8666666666666667,0.8583333333333333,0.8666666666666667,0.8629629629629629,0.8574074074074074,0.8624074074074075,0.003954473426678289,2
2.06812162399292,0.14811265284609143,0.11266055107116699,0.020889945503071976,1.0,l2,lbfgs,1.0,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1}",0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,8
